9.5,2.541447963
9.75,6.8586816
10,23.97280777
10.25,15.15107823
10.5,17.17083309
10.75,45.57266334
11,42.63035046
11.25,45.95445275
11.5,60.48470708
11.75,48.78896305
12,76.64510318
12.25,125.3870051
12.5,105.3166617
12.75,131.4020387
13,107.5587092
13.25,153.0321249
13.5,174.8854276
13.75,290.3882163
14,270.7388003
14.25,321.9271748
14.5,351.6961146
14.75,302.7899967
15,455.3091253
15.25,809.5948631
15.5,1585.056805
15.75,2040.952864
16,1740.041799
16.25,1416.319044
16.5,1357.249713
16.75,1267.718323
17,1158.950388
17.25,1236.410821
17.5,1464.958875
17.75,1716.293261
18,2241.451071
18.25,2800.079761
18.5,3500.585914
18.75,5179.432595
19,6825.318191
19.25,9184.631697
19.5,12160.95877
19.75,15941.58419
20,20759.06117
20.25,27305.33542
20.5,36029.77667
20.75,48131.95021
21,64641.47948
21.25,84762.57655
21.5,112101.0699
